Object,City of the judge’s office,Tax Related,Number of Lawyers,Number of Legal Parties,Number of Persons,Settlement,Value formatted,Unified Contribution formatted
OR-140999,Cagliari,0,2,2,0,1000.5152780673626,1000.0,43.0
OR-140999,Milano,0,2,1,1,2302.200566693065,2283.915629392251,98.0
OR-145009,Torino,0,1,3,1,1199.9999999999998,1196.0566066490937,98.0
OR-145009,Napoli,0,1,1,1,590.6094790548594,872.6694629112039,43.0
OR-145999,Genova,0,2,1,1,1300.3257574164559,500.0,43.0
OR-140999,Milano,0,1,1,1,961.8034316437169,997.1991699808443,43.0
OR-140999,Genova,0,1,1,1,732.8954067060736,740.9954254067445,43.0
OR-140999,Milano,1,1,1,2,199.0215656991358,178.230196299389,43.0
OR-145999,Firenze,0,2,1,1,1634.4962444152893,1600.0,98.0
OR-140999,Roma,0,2,1,1,479.3359047061593,500.0,21.5
OR-145009,Roma,0,2,2,1,400.00000000000006,6968.029749812047,237.0
*,Napoli,0,1,2,0,4246.2858885876985,4403.325564773865,98.0
OR-140999,Milano,0,2,1,1,950.0308835706328,1032.0,43.0
OR-145009,Bologna,0,2,1,2,1420.760869373342,1400.3526678150924,98.0
OR-140999,Roma,0,1,0,2,763.1048933234433,773.3311677971335,43.0
OR-140999,Milano,0,1,1,1,250.0,255.1747868551515,43.0
OR-145009,Napoli,0,2,1,1,1032.91,9784.889603586067,237.0
OR-145009,Napoli,0,2,1,1,1000.0000000000001,3271.6769067605574,98.0
OR-145999,Bologna,0,2,0,2,1500.0,1759.0143997533603,98.0
OR-145009,Palermo,0,2,1,1,1296.4688807780424,3233.8215676858367,98.0
OR-145999,Milano,0,1,0,2,341.9379021191122,2031.2961656005623,85.0
OR-145009,Milano,0,2,3,1,1762.7614299873724,1931.4407920630913,98.0
OR-145999,Napoli,0,1,2,1,300.0,300.2921133521218,43.0
OR-145999,Napoli,0,3,2,1,1478.9060060451397,2218.243760539952,98.0
*,Cagliari,0,1,0,2,3618.9452727801586,3527.57472893145,98.0
OR-140999,Milano,0,1,0,2,1000.0000000000001,1401.6054684188598,98.0
OR-145009,Milano,0,2,1,1,2699.1376635008187,15000.0,237.0
OR-145009,Bologna,0,1,1,1,6264.884007855005,20000.0,237.0
OR-145009,Firenze,0,2,1,1,778.6506733797694,5200.0,98.0
OR-145999,Firenze,0,2,1,2,500.0,504.82500485988254,43.0
OR-145009,Cagliari,0,5,4,1,1000.0000000000001,5200.0,98.0
OR-145999,Genova,0,2,1,1,1551.1034008682427,1600.0,98.0
OR-145999,Milano,0,1,1,1,1535.203572604871,1548.455466100786,98.0
OR-145999,Milano,0,2,1,2,500.0,1000.0,43.0
OR-140999,Firenze,0,1,2,0,1545.6020204968188,2466.4528935653075,98.0
OR-140999,Cagliari,0,1,1,2,3286.8382578947353,3260.8317766793703,98.0
OR-140999,Napoli,0,3,2,1,1000.0000000000001,3964.7490538039788,98.0
OR-145999,*,0,1,1,1,307.8409724656154,304.29771064164555,43.0
OR-145009,Genova,0,4,4,0,3149.8071906030837,3227.9691044187766,98.0
OR-145009,Milano,0,2,1,1,6239.320664187007,7526.872485323864,237.0
OR-140999,Palermo,0,2,1,1,609.7753751337427,619.5024554945797,43.0
OR-140999,Cagliari,0,1,2,1,2669.9102090904225,1986.3564807506023,98.0
OR-140999,*,0,2,1,1,900.0,3705.401686124239,98.0
OR-145009,Milano,0,2,1,1,3378.2526917549144,5200.0,98.0
OR-145009,Napoli,0,1,1,1,3872.8813630385716,3901.9464868958667,98.0
OR-145009,Firenze,0,2,3,1,600.0,3798.4351619016898,98.0
OR-145009,Bari,0,2,1,1,6406.787437795382,5200.0,98.0
OR-145999,*,0,1,1,1,1965.8495558004108,1736.7562747375162,98.0
OR-145009,Palermo,0,2,2,1,2007.6436353874767,4000.0,98.0
OR-145009,Genova,0,3,1,2,287.42236519297944,4705.0011251651395,98.0
OR-140999,Genova,1,1,1,3,1032.991358909779,1100.0,43.0
OR-140999,Roma,0,2,1,1,300.0,303.346576849882,43.0
OR-145009,Milano,0,1,1,1,2000.0,2617.103512219946,98.0
OR-140999,Milano,0,2,1,1,250.0,1000.0,43.0
OR-140999,Venezia,0,1,2,0,1103.5038407709712,1113.8037471467305,43.0
OR-145999,Milano,0,1,1,1,381.3092425917289,400.0,43.0
OR-140999,Napoli,1,3,1,2,101.25293771930437,173.94471540616615,42.5
OR-145009,*,0,2,1,1,1181.4294125114338,1297.626670533449,98.0
OR-140999,Torino,0,1,0,2,514.0557630521117,513.6759270196185,43.0
OR-145009,Bari,0,1,1,2,1437.9289849032039,1423.247917121846,98.0
OR-145009,Napoli,0,2,1,1,1.0,2683.4710457192546,98.0
OR-145009,Bari,0,1,2,1,3500.0,5174.366657406233,98.0
OR-145009,Milano,0,2,0,2,972.6821396591622,994.7474790742982,43.0
OR-140999,Firenze,0,1,1,1,500.0,500.0,43.0
OR-140999,Napoli,1,3,1,2,550.0,576.321231231594,43.0
OR-145999,Milano,0,1,2,0,1094.742270752483,1100.0,43.0
OR-140999,Roma,0,2,1,2,350.0,331.701991186733,43.0
OR-145009,Napoli,0,2,1,1,1191.5582797491215,4621.435360922378,98.0
OR-145009,Napoli,0,6,1,5,2206.879211079429,5000.0,98.0
OR-145999,Genova,0,1,1,1,1032.91,1032.0,43.0
OR-145009,*,0,4,4,1,2000.0,5200.0,98.0
OR-140999,Milano,0,2,1,1,1968.8620777564295,1901.2409666186143,49.0
OR-145009,Roma,0,2,0,2,1950.6740970482222,1988.3514118556716,98.0
OR-145999,Milano,0,1,0,2,181.04144257026707,176.21395913926779,43.0
OR-140999,Milano,0,2,1,1,700.0,711.5010785124803,43.0
OR-145999,Napoli,0,1,1,1,550.0,569.5940282707455,37.0
OR-145999,*,0,1,0,2,500.0,1000.0,43.0
OR-145009,Bologna,0,2,2,1,2847.7772040417176,7278.63132914715,237.0
OR-145009,*,0,1,1,1,900.0,1174.0075429338522,98.0
OR-140999,Milano,0,2,1,1,1453.3355887959954,1408.6515285350274,98.0
OR-140999,Napoli,0,1,1,1,353.13789954072905,372.425031678376,43.0
OR-140999,Firenze,0,1,2,0,1488.7787496399299,5200.0,98.0
OR-145999,Venezia,0,2,1,1,7250.820964902037,0.0,237.0
OR-140999,Napoli,0,2,1,1,1400.0,5200.0,85.0
OR-140999,*,0,2,2,0,2487.5983014388285,4150.204942753745,98.0
OR-145009,Venezia,0,3,2,3,4107.739363003349,19999.724831067346,237.0
OR-145009,*,0,3,3,2,1701.8303596118835,1678.4492427318191,98.0
OR-140999,*,0,2,1,1,442.80758507903596,523.7071369432892,43.0
OR-140999,Milano,0,1,1,1,259.48079972861854,258.8831202744988,43.0
OR-145999,Milano,0,2,1,1,369.4970080103331,500.0,43.0
OR-140999,*,0,2,0,2,3551.5498124106,3657.907112157056,98.0
OR-145999,Genova,0,1,0,2,750.0000000000001,750.0,43.0
OR-145009,Palermo,0,2,2,1,8237.271888924959,15106.674989049405,237.0
OR-145999,Napoli,0,1,1,1,972.3648005532182,955.107654966219,43.0
OR-140999,Genova,0,3,3,1,1010.9230813796456,1025.7647386982987,43.0
OR-145009,Napoli,0,2,1,2,3696.3034982784025,20000.0,237.0
OR-145999,Milano,0,2,1,1,965.3903945747479,1000.0,21.5
OR-145999,Napoli,0,2,1,1,235.5966288216932,699.4687762373994,43.0
OR-140999,*,0,3,1,2,2205.269499840975,5000.0,98.0
OR-145009,Napoli,0,2,2,1,2117.8130502598706,5103.416070443574,85.0
OR-140999,Bologna,0,2,0,2,4172.843926932463,4091.8752585651946,49.0
OR-145999,Firenze,0,2,1,1,1.0,2200.0,49.0
OR-145009,Roma,0,2,0,2,4442.665067964475,4463.423571707823,98.0
OR-145009,Firenze,0,2,1,2,1393.5924352655786,2599.9941604525025,98.0
OR-145009,Palermo,0,16,7,3,12792.037414232556,2003.435149997817,98.0
OR-145999,Bologna,0,1,0,2,1098.4372483839868,897.0964585046692,43.0
OR-145009,Cagliari,0,4,3,1,704.2240319466631,713.7739524967164,43.0
OR-140999,Napoli,1,1,1,2,500.0,1971.7774730585445,98.0
OR-140999,Torino,0,2,0,2,500.0,516.0,43.0
OR-145009,Napoli,0,3,2,1,2341.3152958004375,20000.0,237.0
OR-140999,Milano,0,1,2,0,1517.0994337531365,1457.4234150484776,98.0
OR-140999,Milano,0,2,1,1,500.0,1000.0,43.0
OR-140999,Milano,0,2,1,1,3272.0227169449477,3212.7137909581024,85.0
OR-145009,Napoli,0,4,2,3,1800.0,20000.0,237.0
OR-140999,Bari,0,2,1,1,364.70788444048253,386.39400083263195,43.0
OR-140999,Firenze,0,1,0,2,312.7324300168258,300.4657715361923,43.0
OR-140999,Napoli,0,1,1,1,1135.6334070071318,1157.6736930443753,98.0
OR-145999,Firenze,0,1,0,2,1000.0000000000001,1000.0,43.0
OR-140999,Bari,0,2,1,1,2900.7051321975223,3344.8933602169154,49.0
OR-145009,Napoli,0,3,2,2,1337.5482454373519,20000.0,206.0
OR-145009,Milano,0,1,1,1,4562.198217994816,4567.395567549161,98.0
OR-145999,*,0,1,0,2,738.5201657720531,743.4000026620784,43.0
OR-140999,Napoli,1,1,1,2,649.9092439874165,616.8089131058912,43.0
OR-145009,Milano,0,2,1,1,3986.018866538817,6283.763366098179,206.0
OR-145009,Bari,0,2,1,1,3960.9158091116697,5000.0,98.0
*,Milano,0,1,1,1,1000.0000000000001,1000.0,43.0
OR-140999,Firenze,0,2,0,2,756.5913789445342,1893.9274406235234,98.0
OR-140999,Napoli,0,1,1,1,4204.764084047234,4355.008741639191,98.0
OR-140999,Cagliari,0,3,0,3,400.9861762978815,434.527997754609,43.0
OR-140999,Genova,0,2,0,2,1418.4321171276938,1447.6974299718775,98.0
OR-145009,Bologna,0,6,4,2,4017.9299890928896,3887.092768470499,98.0
OR-145999,*,0,2,3,0,1723.0343504224345,4825.903310439676,98.0
OR-145009,Milano,0,2,1,2,6519.372991005044,6590.424814349592,206.0
OR-145999,Firenze,0,3,2,1,500.0,5000.0,98.0
*,Bologna,0,1,1,1,636.6948932311536,1285.9656121809292,98.0
OR-140999,Bari,0,2,2,1,250.0,250.0,43.0
OR-145999,Genova,0,2,1,1,800.0,5200.0,98.0
OR-145009,Palermo,0,1,1,1,3042.1056125395016,3031.700237487948,98.0
OR-145009,*,0,2,2,1,1536.8377097411185,5200.0,98.0
OR-145999,Venezia,0,2,0,2,1575.7747203167637,1562.4339908336287,98.0
OR-145009,Napoli,0,3,2,2,1.0,1275.5621636153596,98.0
OR-145999,Genova,0,1,0,2,1900.0,1861.9658995169962,98.0
OR-145009,Bologna,0,3,1,2,2011.5768505922872,5200.0,98.0
OR-140999,Milano,0,2,1,1,5199.987592903959,5200.0,85.0
OR-145009,Torino,0,3,0,3,1000.0000000000001,5000.0,85.0
OR-140999,Palermo,1,2,1,1,1500.1423494698918,1298.5588624509287,98.0
OR-140999,Torino,0,2,1,1,1999.440204917259,2646.3382421055367,98.0
OR-140999,Firenze,0,1,1,3,447.805633106687,835.1149667451646,43.0
OR-140999,Palermo,0,2,1,1,1032.0,1032.0,43.0
OR-145999,Milano,0,3,2,1,274.8041479925794,280.08694243227035,43.0
OR-145999,Milano,0,1,1,1,276.6339266763244,257.3832975356103,43.0
OR-145009,Genova,0,3,4,1,1694.1176215114526,1669.8842859392696,98.0
OR-140999,Palermo,1,2,1,2,171.53487019228592,1022.6841985588585,43.0
OR-140999,Milano,0,2,1,1,4213.860235386589,4200.938245071568,49.0
OR-140999,*,0,2,1,1,4901.650296802317,4900.330242035698,49.0
OR-140999,Bari,0,2,1,1,900.0,901.5308263189717,43.0
OR-145009,Milano,0,2,1,2,8593.8059492415,15413.181850695837,237.0
OR-140999,*,1,1,1,2,1779.5383676789017,1765.0070934345933,98.0
OR-140999,Torino,0,1,2,0,1809.909219436376,1837.27839737112,98.0
OR-140999,Bari,0,2,1,1,177.42306029082516,268.76401357313955,43.0
*,Palermo,0,2,5,1,1260.8114514923946,1226.20171024369,98.0
OR-145009,*,0,4,4,1,2412.827072430178,2417.6343146396957,98.0
OR-145999,*,0,2,1,1,840.6991138299317,1947.9533520641692,98.0
OR-145999,Venezia,0,2,1,1,2969.8408798061905,2935.681940983232,49.0
OR-145999,Milano,0,2,0,2,1559.1601855556903,5200.0,85.0
OR-145009,Genova,0,2,2,1,2991.3949051546683,5200.0,98.0
OR-145009,Napoli,0,4,3,1,500.21901101484053,1732.2210649991816,98.0
OR-145009,*,0,2,0,3,7635.485681960414,20000.0,237.0
OR-145009,Napoli,0,1,1,1,417.5150435704457,698.878577360569,43.0
OR-145999,*,0,2,1,1,2656.0312863548884,2681.478708572694,98.0
OR-145009,Roma,0,2,3,1,1000.0000000000001,1500.0,98.0
OR-145009,Milano,0,2,2,1,2100.0496061287877,3124.0865395246665,98.0
OR-145009,Genova,0,1,0,2,2675.3069013462346,3000.0,98.0
OR-140999,Torino,0,2,0,2,1731.1983623138303,3071.2628236287856,98.0
OR-145999,Milano,0,1,0,2,600.0,600.0,43.0
OR-145009,Cagliari,0,0,1,2,939.8793499503462,948.3765072761557,43.0
OR-145999,Firenze,0,2,1,1,5669.224446323453,20000.0,206.0
OR-145999,Bologna,0,1,1,1,280.18919399695284,277.8422092122816,43.0
OR-145009,Bologna,0,2,3,1,2863.7293575634358,8931.523949249882,237.0
OR-140999,Milano,0,1,1,1,283.2303829266954,290.4372432933649,43.0
OR-140999,Palermo,0,2,1,1,760.7967989977049,782.1357291157516,43.0
OR-145999,Firenze,0,2,1,1,150.59685860417974,1345.7954853255987,98.0
OR-140999,Genova,0,1,1,1,1893.9953668715448,1947.7413233139948,98.0
*,Milano,0,1,1,1,557.0530226023957,560.1897981978505,43.0
OR-140999,Torino,0,2,2,0,305.53418198426715,1009.1221815102675,43.0
OR-145999,*,0,2,1,1,350.0,1000.0,43.0
OR-140999,Milano,1,3,1,2,0.01,499.98162365584074,43.0
OR-140999,Milano,0,0,1,1,500.08005742183207,500.0,43.0
OR-145999,Firenze,0,2,0,2,1342.177307129261,1801.4351914799238,98.0
OR-145009,Genova,0,2,1,1,6171.927088367711,17242.71159924282,237.0
OR-140999,*,0,2,2,0,2544.7924730762716,5000.0,98.0
OR-140999,Venezia,0,1,2,1,2130.5348379693824,2133.400193425169,98.0
OR-145009,Napoli,0,2,1,3,1600.0,2355.707081590734,85.0
OR-145999,Bari,0,1,2,0,1922.3165135618121,1747.6857109673322,98.0
OR-145009,Firenze,0,2,2,2,5129.6323555557055,7023.843083348025,237.0
OR-145999,Milano,0,1,0,2,500.0,500.0,43.0
OR-145009,Palermo,0,2,1,3,5566.668790159324,6053.652173625233,206.0
*,Milano,0,1,1,1,300.0,301.2222212587228,43.0
*,Roma,0,1,1,1,600.0,645.008406376839,43.0
*,Milano,0,0,1,1,218.0831408900731,297.4474955855927,43.0
OR-145009,*,0,2,1,1,1300.0,1331.340595636922,98.0
OR-145999,Firenze,0,1,0,2,773.424747416528,781.65875193835,43.0
*,Milano,0,1,0,2,99.0370800159705,82.38141657065005,43.0
OR-145999,Milano,0,2,0,2,3161.1589022852727,3695.2539115637287,98.0
*,*,0,3,1,2,1700.0000000000002,1600.7654722397876,85.0
OR-145009,Roma,0,2,2,1,584.7643043603671,797.1430161731348,37.0
OR-145009,Milano,0,1,1,1,521.7853211103237,4404.206079799179,98.0
OR-145009,*,0,2,3,1,3780.9167350283897,10688.772544454569,206.0
OR-145009,Napoli,0,1,2,1,17771.340218338406,20000.0,237.0
OR-145009,Torino,0,2,3,1,3270.135442061756,15862.465516748896,237.0
OR-145009,Milano,0,2,1,2,4474.1620403865545,5000.0,98.0
OR-145999,Venezia,0,2,0,2,599.006351349896,600.0,43.0
OR-140999,Torino,0,2,2,1,1667.4027221327988,4902.428974645188,98.0
OR-145009,Milano,0,2,2,1,2597.8230710671783,5981.86040369053,237.0
OR-145009,Bologna,0,3,2,2,3125.156885573801,3040.135287483762,98.0
OR-140999,Palermo,1,1,1,2,573.3458862144583,119.7364678173393,43.0
OR-140999,Napoli,0,2,1,2,1600.0,1515.7617116164179,98.0
OR-145999,*,0,1,0,2,2593.821866937682,3706.113792375397,98.0
*,Milano,0,1,2,0,2829.5862847050375,2957.4345527419664,98.0
OR-140999,*,0,2,1,1,1943.1362255639465,2500.0,98.0
OR-145009,Roma,0,2,5,2,29.439139411589547,4568.31782808521,98.0
OR-145999,Bari,0,2,0,2,1358.5813640664658,1259.203369179235,98.0
OR-140999,Milano,0,1,0,2,3753.890145747109,3820.320524551207,98.0
OR-145999,Milano,0,2,2,1,5200.0,5200.0,98.0
OR-145009,Genova,0,3,3,1,4000.418185434041,4000.0,98.0
OR-145009,Palermo,0,4,4,1,4443.592655070686,20000.0,237.0
OR-145999,*,0,2,1,1,23473.23136996668,20614.374053522526,237.0
OR-145009,Milano,0,2,1,1,3417.405645923494,3457.390465904715,49.0
OR-140999,Roma,0,2,2,0,1753.0066977262325,1724.763269691381,49.0
OR-145009,Milano,0,2,2,1,1000.0000000000001,1000.0,43.0
OR-140999,*,0,2,1,2,349.4003008653964,322.61024064430535,43.0
OR-145009,Bari,0,2,3,1,4122.7704744049015,18489.725056678326,237.0
OR-145009,Firenze,0,3,1,2,1125.0519464000722,2191.8375712364723,98.0
OR-140999,Napoli,0,2,2,1,2799.8891290140446,2802.0782891789418,49.0
OR-145009,Milano,0,3,2,2,2820.0220757959273,4247.597610162042,98.0
OR-140999,Bari,0,2,0,2,277.289293971307,685.3722979978645,21.5
OR-145009,Torino,0,2,2,1,850.0,2679.800383757895,98.0
OR-140999,Milano,0,2,0,2,319.3428776833154,349.283302936496,43.0
OR-145009,Napoli,0,2,2,1,2411.333013040015,12002.35928165741,237.0
OR-140999,Palermo,0,1,2,0,5000.0,5000.0,98.0
OR-145009,Milano,0,1,1,1,849.2159329859122,1021.5897759598533,43.0
OR-145009,Venezia,0,2,1,1,1213.9606645880904,1233.2065115559396,98.0
OR-145999,Genova,0,1,2,0,3154.021388766379,4019.073014258085,98.0
*,*,0,1,2,0,2000.0,2038.600076300585,98.0
OR-140999,Napoli,1,2,1,3,897.1432143033312,10013.078785471263,237.0
OR-145999,*,0,1,1,2,240.84421656493515,230.4531093897901,43.0
OR-140999,Roma,1,3,1,2,0.01,1604.0413042500718,98.0
OR-145009,Bologna,0,2,1,1,4778.669300498152,4821.079526064441,98.0
OR-145009,Bologna,0,2,1,1,218.22268046630313,1104.2507209114872,37.0
OR-145999,*,0,1,2,0,2198.834781415789,2356.979335986846,98.0
OR-140999,Napoli,1,1,1,2,150.05350778878207,364.44502382605185,43.0
OR-140999,Genova,0,1,1,2,1249.0498746204287,1199.6273717876816,98.0
OR-140999,Torino,0,2,3,1,4365.479166682371,5200.0,98.0
OR-140999,*,0,1,1,1,516.6166287464291,536.3399689843264,43.0
OR-140999,Genova,0,1,0,2,3560.7310841005788,3556.8509509678374,98.0
OR-145999,Torino,0,2,1,1,1122.0151606643371,1100.0,98.0
OR-140999,*,0,1,0,2,649.6393372044762,667.9473487734774,43.0
OR-145009,Bari,0,2,1,1,3084.8134363640766,5000.0,85.0
OR-145999,Palermo,0,3,2,1,5200.0,5200.0,98.0
OR-145009,Palermo,0,2,2,1,10282.942282816117,10464.405345321964,206.0
OR-145009,Milano,0,2,1,1,2098.652398729231,5000.0,98.0
OR-145999,Napoli,0,2,1,1,2815.3928887280344,4366.052443733735,98.0
OR-145999,Firenze,0,2,0,2,1305.2699056695797,1207.5468993860209,98.0
OR-140999,Napoli,1,1,1,2,167.11644737988757,629.2634700523222,43.0
OR-145009,Napoli,0,1,2,1,158.00380577411116,3250.926071898711,98.0
OR-140999,Napoli,1,1,1,1,128.47728793930665,207.0910363430347,43.0
OR-145999,Napoli,0,2,2,1,1000.0000000000001,1032.0,37.0
OR-145999,Bari,0,2,0,2,250.0,326.48281857525313,43.0
OR-145009,Milano,0,0,1,1,1491.8034919236918,1400.0,98.0
*,Milano,0,2,1,1,547.2906863949689,567.7124441037606,43.0
OR-140999,Torino,0,2,3,0,750.0618738565137,1716.3280554449352,98.0
OR-145009,Milano,0,2,2,2,942.7286990045689,1731.368672579292,98.0
OR-145999,Milano,0,2,1,1,800.0,1032.0,43.0
OR-140999,Milano,0,1,0,2,500.0,500.0,43.0
OR-140999,Roma,0,3,0,4,1032.91,1100.0,21.5
OR-140999,Milano,0,2,1,1,1032.91,1043.3878537418543,21.5
OR-145009,Bologna,0,1,1,2,3581.012848555428,3787.7640342122745,98.0
OR-140999,Torino,0,1,1,2,104.74420750834284,999.9997409142635,43.0
OR-145009,Firenze,0,2,1,1,5749.662156127119,15000.0,237.0
OR-145999,*,0,2,1,1,3849.02038996355,3852.550760322576,49.0
OR-145999,Milano,0,2,0,2,2611.161189840941,2617.716745930214,49.0
OR-145009,*,0,2,1,1,1650.5164312608356,8450.738941188822,237.0
OR-140999,Cagliari,0,1,2,0,1155.0458973252848,1100.0,43.0
OR-145999,Milano,0,2,1,2,2244.2952987988533,2226.7211995139864,85.0
OR-145009,Napoli,0,1,1,1,3000.0,5200.0,98.0
OR-145999,Milano,0,1,1,1,2648.1595739248146,5000.0,49.0
OR-145009,Napoli,0,1,1,1,6319.856727375227,26000.0,237.0
OR-145009,Palermo,0,3,2,1,2780.7089900242827,2741.327971885916,49.0
OR-145009,Palermo,0,1,3,1,3745.5919821064813,3792.125624422485,98.0
*,*,0,1,1,1,300.0,301.58795626702414,43.0
OR-145999,*,0,2,1,1,1249.74540314973,1275.7728026595635,98.0
OR-140999,Milano,0,2,0,2,582.0853573430585,561.1979418923075,43.0
OR-145999,Firenze,0,2,1,1,768.406995339983,795.5196921062383,21.5
OR-140999,Milano,0,1,0,2,1202.9385545602872,1296.7811731241318,98.0
OR-145009,Torino,0,5,3,2,1092.6383617324889,2192.6106855162434,98.0
OR-145999,Genova,0,1,1,1,300.0,411.17087277741865,43.0
OR-145009,Palermo,0,2,3,1,6439.812117298562,9511.56134882134,237.0
*,Firenze,0,1,2,0,600.0,1033.0,43.0
OR-145009,Torino,0,2,1,2,1100.0,5164.214740716975,98.0
OR-145999,Bari,0,2,1,1,1993.0587387817397,1951.422310135822,49.0
OR-145999,Milano,0,2,0,2,2731.1416931418908,2746.7908878708818,49.0
OR-145999,Milano,0,2,1,3,4496.501272284756,4487.151868589949,98.0
OR-140999,Napoli,1,2,1,3,4442.191681162943,4500.0,98.0
OR-145009,Napoli,0,2,2,1,2301.798851397,4792.858642628186,98.0
OR-145009,Palermo,0,1,2,0,3000.0,5000.0,98.0
OR-145999,Bologna,0,1,0,2,229.8654121823929,225.08584371080389,43.0
OR-145009,Palermo,0,2,3,1,5199.975842874405,8648.076425853777,237.0
OR-145009,Napoli,0,2,1,1,4361.30600681359,11738.25887531053,206.0
OR-140999,Torino,0,3,0,4,1248.3700191993948,6387.085037512223,237.0
OR-145009,Napoli,0,1,1,1,1498.6400436372076,4403.637243569351,85.0
OR-145009,Milano,0,2,1,1,9977.554735060474,16110.964549988952,237.0
OR-145999,Bologna,0,2,1,2,1000.0000000000001,1256.2846451759845,98.0
OR-140999,Torino,0,1,2,1,1427.2635097347777,2076.1279215156346,98.0
OR-140999,Milano,0,2,0,2,3038.002363076224,5000.0,98.0
OR-145999,Firenze,0,2,0,2,100.0,400.0,43.0
OR-145009,Milano,0,2,0,2,3290.2452583919726,3332.022753028316,98.0
OR-145009,Palermo,0,8,7,2,500.0,945.6658110014072,43.0
OR-140999,Napoli,0,3,2,2,4988.9299880050075,5000.0,98.0
OR-140999,Torino,0,2,1,1,250.0,250.0,43.0
OR-145009,Palermo,0,1,1,2,3736.9874003863447,5000.0,98.0
OR-145999,Bologna,0,1,0,2,1051.9448632777935,1100.0,43.0
OR-145999,Palermo,0,2,1,1,2595.2022019977035,2593.037132533664,49.0
OR-145009,Torino,0,2,1,2,1.0,10695.093889242939,237.0
OR-140999,Milano,0,3,2,1,1206.9838972724524,1226.58720717725,49.0
OR-145999,Bari,0,2,1,2,1500.0,2599.9315892735576,98.0
OR-140999,Milano,0,2,1,1,4000.0,4004.134818219342,49.0
OR-145009,Milano,0,1,1,1,1700.0000000000002,4928.215979117165,98.0
OR-140999,Roma,0,2,1,1,100.99272750744612,104.16138311164273,43.0
OR-140999,Palermo,0,1,0,2,534.8999925025634,550.9503077993385,21.5
OR-145009,Bari,0,2,1,1,2.0,1593.4941586860625,98.0
OR-140999,Bari,0,1,0,2,4623.202723619306,4681.87832636935,98.0
OR-140999,*,0,1,1,1,1901.417356579119,1860.4975129496956,98.0
OR-145009,Milano,0,2,2,1,4950.707674592156,11613.071002810626,237.0
OR-145009,Palermo,0,1,1,1,657.3689851217435,649.4272242873923,43.0
OR-145009,Milano,0,1,0,2,3078.6822188627702,3000.4679455407945,49.0
*,Milano,0,1,2,2,1000.0000000000001,939.1090751446335,43.0
OR-140999,Firenze,0,3,2,1,2654.5752392048707,3500.0,49.0
OR-140999,Genova,0,2,2,0,1889.6090444648842,2328.7976989687827,49.0
OR-145009,*,0,2,2,1,5565.366230322751,26000.0,237.0
OR-140999,Milano,0,1,0,2,500.0,500.0,43.0
OR-140999,Napoli,0,1,1,1,600.0,1000.0,43.0
OR-145009,Firenze,0,1,1,1,1100.0,1098.316049571278,43.0
OR-140999,Napoli,0,1,1,1,1500.0,3000.0,98.0
OR-145999,Milano,0,2,1,1,1502.1170149421116,4971.390902622132,98.0
OR-140999,Milano,0,1,0,2,750.140243701506,776.851933439828,43.0
OR-145009,Cagliari,0,2,1,1,1260.088847966695,1281.4500788332507,49.0
OR-145009,Palermo,0,1,2,1,800.0,800.0,43.0
OR-145999,Genova,0,1,0,2,1000.0000000000001,1030.912214311572,43.0
OR-145009,Milano,0,2,2,2,500.0,1815.018939152636,98.0
OR-145999,Milano,0,1,1,1,1000.0000000000001,1000.0,43.0
OR-145009,Milano,0,2,1,1,5724.823775159453,18065.200692876217,237.0
OR-145999,Torino,0,4,1,3,4471.82446233034,4292.232399483778,98.0
OR-145999,Napoli,0,1,1,1,595.336847336655,1032.91,43.0
OR-145009,Bologna,0,2,1,1,1678.0794907190184,2599.7149452463455,98.0
OR-140999,Palermo,0,1,1,1,225.06158076601017,229.66231335165574,43.0
OR-140999,Roma,0,2,0,2,1511.194172071819,2551.590255547081,49.0
OR-145009,Milano,0,2,2,1,3718.034833443463,5771.376659693489,237.0
OR-145009,Napoli,0,1,1,1,1434.6190332444546,1456.6322800839562,98.0
OR-140999,Genova,0,2,1,2,500.0,494.9945488270595,43.0
OR-140999,Roma,0,1,1,1,109.7984196024522,121.7207471753123,43.0
OR-140999,Genova,0,1,0,2,700.0,737.6912366767691,43.0
OR-145009,Milano,0,2,1,1,400.00000000000006,1500.0,98.0
OR-145009,Palermo,0,2,1,2,3257.165331995829,5200.0,98.0
OR-145009,Napoli,0,2,2,2,2711.2264218701507,3089.1547222678137,98.0
*,Milano,0,0,1,1,1059.6850761364562,1028.406511834811,43.0
OR-140999,Roma,0,3,1,2,0.01,800.0,43.0
OR-140999,*,1,1,1,2,429.27301227838433,1013.7325912526146,43.0
OR-140999,Genova,0,1,0,2,3940.383069989038,4930.25629920281,98.0
OR-140999,Milano,0,4,2,2,6746.462220324166,7006.11177570735,206.0
OR-140999,Firenze,0,2,1,2,700.0,655.4048395136558,43.0
OR-145999,Milano,0,2,0,2,2979.623019091487,3145.448050222677,85.0
OR-145999,Milano,0,1,1,1,403.68781869751183,406.46188602574057,43.0
OR-140999,Milano,0,1,2,0,2513.7643932769142,3500.0,98.0
OR-145009,Firenze,0,1,1,1,523.2928448326527,10519.380734183223,237.0
OR-145009,Firenze,0,2,2,2,9281.782061833263,17025.066762278082,237.0
OR-145999,Roma,0,2,2,0,2383.1011428348106,2346.1519111821444,98.0
OR-145999,*,0,2,2,0,1444.3756508675308,1477.0143441410014,49.0
